PLAYER,TEAM,POS.,GP,G,A,PTS,PIM,PPG,PPA,SHG,SHA
CHRISTIAN LEFEUVRE,St. Catharines Athletics,2,1,2,3,0,,0,1,0,0
BRAEDEN LOCKYER,Oakville Buzz,2,1,2,3,2,,0,1,0,0
TREYTON WEINSTEIN,Kitchener-Waterloo,3,1,2,3,0,,0,0,0,0
COLIN MATTHEWS,Burlington Chiefs,6,1,2,3,4,,0,0,1,0
NORM PITT,Burlington Chiefs,6,1,2,3,0,,0,0,0,0
BO COLUMBUS,Kitchener-Waterloo,6,1,2,3,9,,0,0,0,0
ISAAC SQUIRE-HILL,Six Nations Arrows,7,1,2,3,48,,0,0,0,0
BO COLUMBUS,St. Catharines Athletics,8,1,2,3,0,,0,0,0,1
ETHAN BROWN AP,Mimico Mountaineers,8,1,2,3,11,,0,1,1,0
MICHAEL GRACE,Burlington Chiefs,14,1,2,3,19,,0,0,0,0
BEN DOHERTY,St. Catharines Athletics,15,1,2,3,42,,0,0,0,0
WILLIAM WHITE,Peterborough Lakers,15,1,2,3,2,,0,0,0,0
MARK VAN SCHEPEN,Brampton Excelsiors,16,1,2,3,23,,0,0,0,0
LUCAS HUCAL,Oakville Buzz,19,1,2,3,16,,1,1,0,0
KEVIN HILL,Six Nations Arrows,3,0,3,3,2,,0,1,0,0
KYLE MCMILLAN,Burlington Chiefs,4,0,3,3,0,,0,0,0,0
GAVIN SNOW,Kitchener-Waterloo,5,0,3,3,2,,0,0,0,0
RYAN PATTERSON,St. Catharines Athletics,8,0,3,3,8,,0,0,0,0
RYAN ESSENSSA,Mimico Mountaineers,10,0,3,3,7,,0,0,0,1
WYATT WIGGINS,Peterborough Lakers,10,0,3,3,4,,0,0,0,0
ATKIN DWYER AP,Mimico Mountaineers,12,0,3,3,4,,0,2,0,0
JAYDEN SMITH,Six Nations Arrows,13,0,3,3,38,,0,0,0,0
SEVEN GILLINGHAM,Kitchener-Waterloo,14,0,3,3,26,,0,0,0,0
AIDEN MACDONELL,Mimico Mountaineers,15,0,3,3,33,,0,1,0,0
MICHAEL WHITE,Whitby Warriors,17,0,3,3,14,,0,1,0,1
MARCUS KELEHER,Oakville Buzz,1,2,0,2,0,,0,0,0,0
CAM ESSENSA AP,Mimico Mountaineers,1,2,0,2,0,,0,0,1,0
SHAKORENNAWIS SWAMP,Six Nations Arrows,2,2,0,2,2,,1,0,0,0
DANIEL MAY,Toronto Beaches,6,2,0,2,8,,1,0,0,0
COLE HUNSBERGER ,Kitchener-Waterloo,7,2,0,2,6,,0,0,0,0
TYLER GRANDEL,Peterborough Lakers,17,2,0,2,22,,0,0,0,0
LIAM STEELE,Brampton Excelsiors,20,2,0,2,24,,1,0,0,0
DYLAN CORDINGLEY,Orangeville Northmen,1,1,1,2,0,,0,0,0,0
NATE SAGE,Peterborough Lakers,1,1,1,2,0,,1,1,0,0
ANDY DALTON,Kitchener-Waterloo,2,1,1,2,4,,0,0,0,0
HAMISH MCPHERSON,Toronto Beaches,2,1,1,2,0,,0,0,0,0
DAMON DOXTATOR,Six Nations Arrows,2,1,1,2,0,,0,0,0,0
KEATON BROWN,Orangeville Northmen,4,1,1,2,0,,0,0,0,0
BRETT HARRISON AP,Mimico Mountaineers,4,1,1,2,0,,0,0,0,0
ZACH MACDONALD,Burlington Chiefs,6,1,1,2,12,,0,0,0,0
NICHOLAS DAMICO,Burlington Chiefs,7,1,1,2,2,,0,0,0,0
ETHAN FISHER,St. Catharines Athletics,7,1,1,2,0,,0,0,0,0
JACOB GARCIA,Mimico Mountaineers,10,1,1,2,2,,0,0,0,0
KYLE STERRITT,Brampton Excelsiors,11,1,1,2,2,,0,0,0,0
LIAM PERRO,Orangeville Northmen,11,1,1,2,14,,0,0,0,0
CHRIS HARLAND,Toronto Beaches,12,1,1,2,0,,0,0,0,0
ANDREW HORSLEY,Brampton Excelsiors,14,1,1,2,34,,0,0,0,0
NEAL ADAMSON,Brampton Excelsiors,14,1,1,2,36,,0,0,0,0
KOBE HANDSOR,Whitby Warriors,18,1,1,2,12,,0,1,0,0
JAYDEN BUSHEY,Peterborough Lakers,1,0,2,2,0,,0,2,0,0
JARED DOWNEY,Orangeville Northmen,1,0,2,2,0,,0,0,0,0
CURTIS MARTIN,Peterborough Lakers,1,0,2,2,0,,0,0,0,0
ZACH GIGNAC,Oakville Buzz,1,0,2,2,0,,0,0,0,0
COOPER DAY-ALLISON,Burlington Chiefs,1,0,2,2,0,,0,0,0,1
ZACH MCDONALD,Burlington Chiefs,3,0,2,2,4,,0,0,0,0
BRETT VINCE,Kitchener-Waterloo,7,0,2,2,0,,0,0,0,0
KENNY SPROAT,Burlington Chiefs,15,0,2,2,8,,0,0,0,0
BO DOXTATOR,Six Nations Arrows,17,0,2,2,32,,0,0,0,0
AIDEN FEARN,Six Nations Arrows,18,0,2,2,45,,0,0,0,0
JAKE DOOLITTLE,Whitby Warriors,18,0,2,2,8,,0,0,0,1
ANSELMO REGO AP,Mimico Mountaineers,1,1,0,1,0,,1,0,0,0
GAGE NOSEWORTHY,Orangeville Northmen,1,1,0,1,2,,0,0,0,0
ALEX POLISOTO,St. Catharines Athletics,1,1,0,1,0,,0,0,1,0
ZACH LEFEBVRE,Peterborough Lakers,1,1,0,1,0,,1,0,0,0
JEREMY FANCETT,Brampton Excelsiors,1,1,0,1,0,,0,0,0,0
JEREMY FANCETT,Brampton Excelsiors,1,1,0,1,0,,0,0,0,0
COLE TUCKER,Whitby Warriors,1,1,0,1,0,,1,0,0,0
NICK BAFIA,Orangeville Northmen,1,1,0,1,0,,0,0,0,0
EOIN MACKAY,Toronto Beaches,1,1,0,1,0,,0,0,1,0
MICAHEL GREEN,Peterborough Lakers,2,1,0,1,4,,0,0,0,0
KALEB MALYON,Six Nations Arrows,3,1,0,1,8,,0,0,0,0
MYLES NEWPORT,Oakville Buzz,3,1,0,1,0,,0,0,0,0
BOBBY CROWE,Peterborough Lakers,4,1,0,1,2,,1,0,0,0
JONATHAN GAGLIARDI,Oakville Buzz,6,1,0,1,8,,0,0,0,0
CALLYN MARTIN,Kitchener-Waterloo,7,1,0,1,4,,0,0,0,0
JACOB GARCIA,Brampton Excelsiors,7,1,0,1,8,,0,0,0,0
FRANK COYLE,Peterborough Lakers,7,1,0,1,2,,0,0,0,0
MAX SKENE,Burlington Chiefs,11,1,0,1,0,,0,0,1,0
NOLAN KENNEY,"Orangeville Northmen , Kitchener-Waterloo",12,1,0,1,14,,0,0,0,0
Orangeville Northmen,71,0,0,0,0,0,,0,0,0,4
Kitchener-Waterloo,"4, 7",1,0,1,0,0,,0,0,0,10
BAILEY KIRWIN,Toronto Beaches,14,1,0,1,10,,0,0,0,0
MICHAEL WILSON,St. Catharines Athletics,16,1,0,1,14,,0,0,0,0
TRENT ROBERTSON,Brampton Excelsiors,17,1,0,1,83,,0,0,0,0
REID LOWE,St. Catharines Athletics,20,1,0,1,4,,1,0,0,0
MATT PERREIRA,Brampton Excelsiors,1,0,1,1,0,,0,0,0,0
CARTER TAITE,Peterborough Lakers,1,0,1,1,0,,0,0,0,0
NOBLE STONEFISH,Six Nations Arrows,1,0,1,1,2,,0,0,0,0
NOLAN BYRNE,Peterborough Lakers,1,0,1,1,0,,0,1,0,0
LIAM BUCKNELL,Toronto Beaches,1,0,1,1,2,,0,1,0,0
JAMESON STEELE,Oakville Buzz,1,0,1,1,0,,0,0,0,0
CHUCK RAWSON,Burlington Chiefs,1,0,1,1,0,,0,0,0,0
KAYMEN DIABO,Orangeville Northmen,1,0,1,1,0,,0,0,0,0
DEELAND MARTIN,Six Nations Arrows,1,0,1,1,0,,0,0,0,1
CURTIS WARD,Brampton Excelsiors,1,0,1,1,0,,0,0,0,0
MASON BLACKTOPP,Toronto Beaches,2,0,1,1,0,,0,0,0,0
ZACH SHEPPARD,Whitby Warriors,2,0,1,1,2,,0,0,0,0
CODY INNES,Burlington Chiefs,2,0,1,1,0,,0,0,0,0
SAM ALBERT,Peterborough Lakers,2,0,1,1,0,,0,1,0,0
CHRIS WONG,St. Catharines Athletics,3,0,1,1,0,,0,0,0,0
JACOB KELLER AP,Mimico Mountaineers,3,0,1,1,0,,0,0,0,1
LANDON SINFIELD,Peterborough Lakers,3,0,1,1,0,,0,0,0,0
BRYDEN PITT AP,Mimico Mountaineers,5,0,1,1,0,,0,0,0,0
KEITH GREEN,Six Nations Arrows,6,0,1,1,10,,0,0,0,0
BEN MCISAAC ,Mimico Mountaineers,6,0,1,1,0,,0,0,0,0
GRAYDON STOKES,Orangeville Northmen,6,0,1,1,8,,0,0,0,0
LOGAN FLETCHER,St. Catharines Athletics,7,0,1,1,2,,0,0,0,0
MATT SCHELL,Toronto Beaches,7,0,1,1,8,,0,1,0,0
HAYDEN HILTZ,Burlington Chiefs,7,0,1,1,0,,0,0,0,0
CALLUM MCLEOD,Whitby Warriors,8,0,1,1,2,,0,1,0,0
BRODY THOMAS,Six Nations Arrows,8,0,1,1,2,,0,0,0,0
JAMES GOWLAND,Six Nations Arrows,8,0,1,1,10,,0,1,0,0
CARTER SCHOTT,Whitby Warriors,12,0,1,1,40,,0,0,0,0
CADEN HEWITT,Toronto Beaches,18,0,1,1,12,,0,0,0,0
OWEN CIAVOLEILLO,Brampton Excelsiors,18,0,1,1,6,,0,0,0,0
RILEY DELILL,Brampton Excelsiors,20,0,1,1,53,,0,0,0,0
DANNY NEILSON,Peterborough Lakers,1,0,0,0,0,,0,0,0,0
ISAIAH SKIDDERS,Six Nations Arrows,1,0,0,0,0,,0,0,0,0
ZACH PIPHER,Whitby Warriors,1,0,0,0,2,,0,0,0,0
BEN KROMER,Whitby Warriors,1,0,0,0,0,,0,0,0,0
MAX TAYLOR,Whitby Warriors,1,0,0,0,0,,0,0,0,0
BRAEDAN GARDNER,Peterborough Lakers,1,0,0,0,0,,0,0,0,0
CY DEERE,Oakville Buzz,1,0,0,0,0,,0,0,0,0
MATHIS COULLARD,Oakville Buzz,1,0,0,0,0,,0,0,0,0
GARRETTE STONEFISH,Oakville Buzz,1,0,0,0,0,,0,0,0,0
RYAN CORNFIELD,Kitchener-Waterloo,1,0,0,0,0,,0,0,0,0
JACK LONGMORE,Peterborough Lakers,1,0,0,0,0,,0,0,0,0
WES GEEKIE,Peterborough Lakers,1,0,0,0,2,,0,0,0,0
NICK D'AMICO,Burlington Chiefs,1,0,0,0,0,,0,0,0,0
TRAY MILLER,Six Nations Arrows,1,0,0,0,0,,0,0,0,0
TREY JIMERSON,Six Nations Arrows,1,0,0,0,0,,0,0,0,0
NATHAN MACDONALD,Mimico Mountaineers,1,0,0,0,0,,0,0,0,0
COREY SOMERS,Peterborough Lakers,1,0,0,0,0,,0,0,0,0
KYLE ERVINE,Toronto Beaches,1,0,0,0,0,,0,0,0,0
RILEY ROGERS,Toronto Beaches,1,0,0,0,0,,0,0,0,0
ISAAC HOTRUM,Peterborough Lakers,1,0,0,0,0,,0,0,0,0
BRODIE ROBERTS,Peterborough Lakers,1,0,0,0,0,,0,0,0,0
JACK BUCKNELL,Toronto Beaches,1,0,0,0,0,,0,0,0,0
CARTER DRYNAN,Toronto Beaches,1,0,0,0,0,,0,0,0,0
KADEN BRENNAN,Kitchener-Waterloo,1,0,0,0,0,,0,0,0,0
MERRICK SANDS,Peterborough Lakers,1,0,0,0,0,,0,0,0,0
SCOTT ARSENAULT,Peterborough Lakers,1,0,0,0,0,,0,0,0,0
COLE LESTER,Peterborough Lakers,1,0,0,0,0,,0,0,0,0
EASTON MCCAFFERTY,Whitby Warriors,1,0,0,0,0,,0,0,0,0
COLE BEGLEY AP,Mimico Mountaineers,1,0,0,0,0,,0,0,0,0
KEAGAN WALTON,Peterborough Lakers,1,0,0,0,2,,0,0,0,0
OLIVER HAZELWOOD,Peterborough Lakers,1,0,0,0,0,,0,0,0,0
REAGAN MARTINELL,Peterborough Lakers,1,0,0,0,0,,0,0,0,0
BECKER LIPPERT,Oakville Buzz,1,0,0,0,0,,0,0,0,0
COLE BEGLEY AP,Mimico Mountaineers,1,0,0,0,7,,0,0,0,0
BEN BAKER,Brampton Excelsiors,1,0,0,0,0,,0,0,0,0
TAYTON SKYE,Six Nations Arrows,1,0,0,0,2,,0,0,0,0
NICK THOMAS,Brampton Excelsiors,1,0,0,0,0,,0,0,0,0
BENCH PENALTY,St. Catharines Athletics,1,0,0,0,2,,0,0,0,0
TEISON MCGREGOR,St. Catharines Athletics,1,0,0,0,0,,0,0,0,0
CAM WHEELDON,Oakville Buzz,1,0,0,0,0,,0,0,0,0
LEYTON SOWDEN,Six Nations Arrows,1,0,0,0,0,,0,0,0,0
BRENDAN BOYLE,Burlington Chiefs,1,0,0,0,17,,0,0,0,0
JAKE BARKLEY,Orangeville Northmen,1,0,0,0,0,,0,0,0,0
SAM BOWLING,Kitchener-Waterloo,1,0,0,0,0,,0,0,0,0
MATTHEW HERTNERT,Burlington Chiefs,1,0,0,0,4,,0,0,0,0
KAYDEN TAPP,Kitchener-Waterloo,1,0,0,0,0,,0,0,0,0
CALEB CONNELL,Peterborough Lakers,1,0,0,0,0,,0,0,0,0
JACK MOORES,St. Catharines Athletics,1,0,0,0,2,,0,0,0,0
JOSH MANNING,Kitchener-Waterloo,1,0,0,0,0,,0,0,0,0
OWEN WILLIAMS AP,Mimico Mountaineers,1,0,0,0,0,,0,0,0,0
BAILEY ROLPH,Kitchener-Waterloo,2,0,0,0,2,,0,0,0,0
KALEB PARKHURST,Peterborough Lakers,2,0,0,0,0,,0,0,0,0
DUNCAN CARTE,Burlington Chiefs,2,0,0,0,12,,0,0,0,0
SHATEKAIENTHON VANDOMMLEN,Six Nations Arrows,2,0,0,0,5,,0,0,0,0
NOLAN CANDY,Kitchener-Waterloo,2,0,0,0,0,,0,0,0,0
LUCAS RENZETTI,Oakville Buzz,2,0,0,0,4,,0,0,0,0
PARKER VANDEBOOM,Kitchener-Waterloo,2,0,0,0,0,,0,0,0,0
NOLAN POWER,Oakville Buzz,2,0,0,0,0,,0,0,0,0
CAL ANDERSON,Six Nations Arrows,2,0,0,0,0,,0,0,0,0
ETHAN KELEHER,Oakville Buzz,2,0,0,0,2,,0,0,0,0
JUSTIN BELLEPERCHE,Peterborough Lakers,2,0,0,0,0,,0,0,0,0
RYAN ANDREWS,St. Catharines Athletics,2,0,0,0,0,,0,0,0,0
MICK MILLER,Six Nations Arrows,2,0,0,0,0,,0,0,0,0
MATT DARROCH,Oakville Buzz,2,0,0,0,2,,0,0,0,0
AIDEN ARSENAULT,St. Catharines Athletics,2,0,0,0,0,,0,0,0,0
LEROY RYAN JAMIESON,Six Nations Arrows,2,0,0,0,2,,0,0,0,0
AIDEN OTOOLE,Orangeville Northmen,2,0,0,0,4,,0,0,0,0
TY VAN WART,Orangeville Northmen,3,0,0,0,2,,0,0,0,0
RYAN OLIN,Whitby Warriors,3,0,0,0,4,,0,0,0,0
CARTER FROST,Peterborough Lakers,3,0,0,0,4,,0,0,0,0
TREYTON WEINSTEIN,Kitchener-Waterloo,3,0,0,0,2,,0,0,0,0
MAX BROOK,St. Catharines Athletics,3,0,0,0,0,,0,0,0,0
TYLER FLETCHER,Kitchener-Waterloo,3,0,0,0,6,,0,0,0,0
ANDREW KIDD,Toronto Beaches,3,0,0,0,0,,0,0,0,0
NICK DAMICO,Burlington Chiefs,3,0,0,0,0,,0,0,0,0
SEAN MCMAHON,Toronto Beaches,3,0,0,0,0,,0,0,0,0
COLBY WOOD,Peterborough Lakers,3,0,0,0,0,,0,0,0,0
SHELDON BROUGHTON,Toronto Beaches,3,0,0,0,0,,0,0,0,0
KENNY PORTER,Six Nations Arrows,3,0,0,0,0,,0,0,0,0
DEREK KOHUT,"Six Nations Arrows , Burlington Chiefs",4,0,0,0,2,,0,0,0,0
Six Nations Arrows,81,0,0,0,0,0,,0,0,0,0
Burlington Chiefs,21,0,0,0,0,0,,0,0,0,2
KAEDEN BURGER,Kitchener-Waterloo,4,0,0,0,0,,0,0,0,0
KAEDEN BURGER,Kitchener-Waterloo,4,0,0,0,2,,0,0,0,0
ROBERT MORGAN,Kitchener-Waterloo,5,0,0,0,0,,0,0,0,0
RYAN BARKER,Oakville Buzz,5,0,0,0,10,,0,0,0,0
SHAWN GLOVER-NOAH,Kitchener-Waterloo,5,0,0,0,2,,0,0,0,0
BRENDAN BOYLE,Burlington Chiefs,5,0,0,0,2,,0,0,0,0
JAKE ARGUE,Orangeville Northmen,5,0,0,0,0,,0,0,0,0
NICK MCCLURE,Brampton Excelsiors,7,0,0,0,2,,0,0,0,0
CARTER GEOFFROY,St. Catharines Athletics,8,0,0,0,8,,0,0,0,0
JACOB RAWSON,St. Catharines Athletics,8,0,0,0,10,,0,0,0,0
KYLE MCMILLAN,Burlington Chiefs,8,0,0,0,0,,0,0,0,0
KAEL CAREY,Oakville Buzz,9,0,0,0,0,,0,0,0,0
DAVIS LONGELADE,St. Catharines Athletics,13,0,0,0,33,,0,0,0,0
TRENT JACKSON,Oakville Buzz,13,0,0,0,29,,0,0,0,0
JAMIE HUNT,Orangeville Northmen,13,0,0,0,15,,0,0,0,0
MICHAEL BILLINGS,Kitchener-Waterloo,16,0,0,0,31,,0,0,0,0
BENCH PENALTY,"Toronto Beaches , Oakville Buzz",19,0,0,0,6,,0,0,0,0
Toronto Beaches,99,0,0,0,0,0,,0,0,0,4
Oakville Buzz,99,0,0,0,0,0,,0,0,0,2
BENCH PENALTY,"Burlington Chiefs , Peterborough Lakers",21,0,0,0,20,,0,0,0,0
Burlington Chiefs,99,0,0,0,0,0,,0,0,0,2
Peterborough Lakers,99,0,0,0,0,0,,0,0,0,18
BENCH PENALTY,"Brampton Excelsiors , Mimico Mountaineers",36,0,0,0,32,,0,0,0,0
Brampton Excelsiors,"88, 99",0,0,0,0,0,,0,0,0,10
Mimico Mountaineers,"88, 99",0,0,0,0,0,,0,0,0,22
BENCH PENALTY,"Whitby Warriors , Kitchener-Waterloo",36,0,0,0,24,,0,0,0,0
Whitby Warriors,99,0,0,0,0,0,,0,0,0,12
Kitchener-Waterloo,99,0,0,0,0,0,,0,0,0,12