RK,TEAM,GP,W,L,T,PTS,OTW,OTL,GF,GA,DIFF,PPG,SHG,SHGA,PIM
1,Mimico Mountaineers,19,15,4,0,30,2,0,262,191,71,71,29,41,361
2,Toronto Beaches,19,14,5,0,28,1,1,220,161,59,34,18,32,263
3,Oakville Buzz,19,13,6,0,26,2,0,161,144,17,46,9,27,291
4,Whitby Warriors,18,12,6,0,24,1,2,213,156,57,32,15,43,307
5,Orangeville Northmen,19,12,7,0,24,0,2,191,151,40,35,8,36,324
6,St. Catharines Athletics,20,10,10,0,20,1,1,185,200,-15,55,18,34,332
7,Peterborough Lakers,19,10,9,0,20,2,2,200,194,6,52,18,40,212
8,Burlington Chiefs,20,10,10,0,20,0,0,206,169,37,43,7,37,292
9,Six Nations Arrows,19,5,14,0,10,0,0,153,202,-49,41,9,66,444
10,Brampton Excelsiors,20,3,17,0,6,0,1,134,224,-90,28,9,56,451
11,Kitchener-Waterloo,18,1,17,0,2,0,0,112,245,-133,23,16,48,257