RK,team_name,GP,W,L,T,PTS,OTW,OTL,GF,GA,DIFF,PPG,SHG,SHGA,PIM
1,Mimico Mountaineers,20,16,4,0,32,2,0,270,198,72,72,29,43,375
2,Toronto Beaches,20,15,5,0,30,1,1,237,169,68,41,18,34,279
3,Whitby Warriors,20,14,6,0,28,1,2,249,163,86,38,16,45,348
4,Oakville Buzz,20,13,7,0,26,2,0,168,152,16,48,10,28,303
5,Orangeville Northmen,20,13,7,0,26,0,2,200,156,44,36,8,38,334
6,St. Catharines Athletics,20,10,10,0,20,1,1,185,200,-15,55,18,34,332
7,Peterborough Lakers,20,10,10,0,20,2,2,205,203,2,54,18,41,227
8,Burlington Chiefs,20,10,10,0,20,0,0,206,169,37,43,7,37,292
9,Six Nations Arrows,20,5,15,0,10,0,0,159,217,-58,42,9,70,495
10,Brampton Excelsiors,20,3,17,0,6,0,1,134,224,-90,28,9,56,451
11,Kitchener-Waterloo,20,1,19,0,2,0,0,121,283,-162,26,17,57,304