RK,TEAM,GP,W,L,T,PTS,OTW,OTL,GF,GA,DIFF,PPG,SHG,SHGA,PIM,
1,Whitby Warriors,3,3,0,0,6,0,0,42,26,16,8,0,7,58,
2,Burlington Chiefs,3,3,0,0,6,0,0,36,29,7,10,3,6,34,
3,Toronto Beaches,4,3,1,0,6,0,0,45,40,5,7,4,6,63,
4,Orangeville Northmen,5,3,2,0,6,0,0,34,32,2,7,2,9,113,
5,Oakville Buzz,5,2,3,0,4,0,0,32,34,-2,9,3,7,102,
6,Peterborough Lakers,4,1,3,0,2,0,0,40,45,-5,6,1,7,81,
7,Mimico Mountaineers,3,0,3,0,0,0,0,29,36,-7,6,2,10,41,
8,St. Catharines Athletics,3,0,3,0,0,0,0,26,42,-16,7,3,8,139,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,