PLAYER,first_name,last_name,team_name,GP,G,A,PTS,PPG,PPA,SHG,SHA,PIM
DAVID ANDERSON,David,Anderson,Toronto Beaches,4,13,9,22,2,1,2,0,2
WILLEM FIRTH,Willem,Firth,Toronto Beaches,4,11,11,22,2,3,0,0,4
ADAM POITRAS,Adam,Poitras,Whitby Warriors,3,7,13,20,1,4,0,0,2
BROCK HALEY,Brock,Haley,Whitby Warriors,3,8,11,19,1,2,0,0,0
DANIEL CLARK,Daniel,Clark,Peterborough Lakers,4,3,14,17,1,5,1,0,4
OWEN HILTZ,Owen,Hiltz,Peterborough Lakers,4,8,8,16,4,1,0,0,5
PARKER PIPHER,Parker,Pipher,Whitby Warriors,3,10,5,15,3,2,0,0,2
WILL SHEEHAN,Will,Sheehan,Oakville Buzz,5,8,7,15,0,6,1,0,2
BRAEDON SARIS,Braedon,Saris,Burlington Chiefs,3,5,10,15,2,6,0,0,2
KEATON ZAVITZ,Keaton,Zavitz,St. Catharines Athletics,3,5,10,15,2,4,1,0,2
TREY DEERE,Trey,Deere,Orangeville Northmen,5,8,6,14,2,0,1,0,10
FINLAY THOMSON,Finlay,Thomson,Mimico Mountaineers,3,7,7,14,3,1,0,1,4
MATTHEW COLLISON,Matthew,Collison,Toronto Beaches,4,6,8,14,3,2,0,1,0
CARTER PAGE,Carter,Page,Peterborough Lakers,4,5,9,14,1,1,0,0,2
JACKSON WEBSTER,Jackson,Webster,St. Catharines Athletics,3,2,12,14,0,3,0,2,12
ZACH THOMPSON,Zach,Thompson,Peterborough Lakers,4,8,5,13,0,1,0,0,2
AMOS WHITCOMB,Amos,Whitcomb,Oakville Buzz,5,7,6,13,4,1,0,1,14
LUCAS DUDEMAINE,Lucas,Dudemaine,Mimico Mountaineers,3,4,9,13,2,2,0,0,7
KOLETON MARQUIS,Koleton,Marquis,Orangeville Northmen,5,5,7,12,1,4,0,1,11
JACOB HICKEY,Jacob,Hickey,Toronto Beaches,4,4,8,12,0,2,0,0,0
GABRIEL SORICHETTI,Gabriel,Sorichetti,Whitby Warriors,3,3,9,12,0,3,0,0,0
ISIAH MORAN-WEEKES,Isiah,Moran-weekes,Mimico Mountaineers,3,5,6,11,0,2,2,0,0
COLTRANE TYSON,Coltrane,Tyson,Burlington Chiefs,2,4,7,11,0,4,0,0,0
JUSTIN LEE,Justin,Lee,Mimico Mountaineers,3,4,7,11,0,2,0,0,0
BRIAN JACKMAN,Brian,Jackman,Oakville Buzz,5,4,7,11,2,3,0,0,4
GREG ELIJAH-BROWN,Greg,Elijah-brown,Burlington Chiefs,3,3,8,11,1,3,1,0,2
BROOKS ENGLISH,Brooks,English,Burlington Chiefs,3,2,9,11,1,4,0,1,4
CLAY SCANLON,Clay,Scanlon,St. Catharines Athletics,3,7,3,10,2,2,0,0,0
NICHOLAS ROODE,Nicholas,Roode,Peterborough Lakers,4,5,5,10,0,1,0,1,2
LIAM MATTHEWS,Liam,Matthews,Orangeville Northmen,5,5,5,10,2,1,0,0,2
CURTIS GODDARD,Curtis,Goddard,Oakville Buzz,5,5,5,10,1,1,1,0,4
JACK BUDWAY,Jack,Budway,Whitby Warriors,3,4,6,10,2,1,0,0,0
WILL MACLEOD,Will,Macleod,Burlington Chiefs,3,5,4,9,3,1,0,1,2
CARSON MOYER,Carson,Moyer,Mimico Mountaineers,3,5,4,9,0,1,0,0,2
CHUCK RAWSON,Chuck,Rawson,Burlington Chiefs,3,3,6,9,2,0,0,0,0
RILEY KNOX,Riley,Knox,Whitby Warriors,3,3,6,9,0,3,0,0,0
NICK DILAURO,Nick,Dilauro,Peterborough Lakers,4,2,7,9,0,0,0,0,2
ZACH MILLER,Zach,Miller,Toronto Beaches,4,0,9,9,0,0,0,0,0
JAMESON BUCKTOOTH,Jameson,Bucktooth,Orangeville Northmen,5,4,4,8,1,2,0,0,6
CAMERON ACCHIONE,Cameron,Acchione,Toronto Beaches,4,2,6,8,0,3,0,0,0
JAKE DAWICK,Jake,Dawick,Oakville Buzz,5,2,6,8,0,2,0,2,2
TYLER HENDRYCKS,Tyler,Hendrycks,Peterborough Lakers,4,3,4,7,0,0,0,0,4
CAM SANDERSON,Cam,Sanderson,Orangeville Northmen,4,2,5,7,1,2,0,0,4
LUCAS FERREIRA,Lucas,Ferreira,Oakville Buzz,5,2,5,7,1,0,1,0,0
CURTIS BUKTA,Curtis,Bukta,Mimico Mountaineers,2,3,3,6,1,0,0,0,0
TIMON ENGLISH,Timon,English,Burlington Chiefs,3,3,3,6,1,0,1,1,2
GAVIN HOWARD,Gavin,Howard,St. Catharines Athletics,3,3,3,6,0,0,1,0,2
EDWARD QU,Edward,Qu,Oakville Buzz,4,3,3,6,0,1,0,1,12
TRISTEN DEMPERS,Tristen,Dempers,Whitby Warriors,3,2,4,6,1,0,0,0,2
MICHAEL BLAYMIRES,Michael,Blaymires,Peterborough Lakers,4,2,4,6,0,0,0,0,0
NATE RUFF,Nate,Ruff,Orangeville Northmen,5,4,1,5,0,0,1,0,0
TYE STEENHUIS,Tye,Steenhuis,St. Catharines Athletics,3,3,2,5,1,1,0,1,21
EFRAIN BARRETO,Efrain,Barreto,St. Catharines Athletics,3,2,3,5,2,0,0,1,2
JUSTIN SYKES,Justin,Sykes,Mimico Mountaineers,3,1,4,5,0,0,0,0,2
ALEX GASTON,Alex,Gaston,Toronto Beaches,4,1,4,5,0,0,0,0,2
NOAH MILLSAP,Noah,Millsap,Orangeville Northmen,5,0,5,5,0,2,0,0,14
ALEXANDER MARINIER,Alexander,Marinier,Burlington Chiefs,3,4,0,4,0,0,0,0,0
JAKSON RAPOSO,Jakson,Raposo,Toronto Beaches,4,3,1,4,0,0,1,0,6
CARTER BEGLEY AP,Carter,Begley,Mimico Mountaineers,1,0,4,4,0,2,0,0,0
ALEXIS SIMARD,Alexis,Simard,Burlington Chiefs,2,2,1,3,0,0,0,0,6
JEREMI PHOENIX-LEFEBVRE,Jeremi,Phoenix-lefebvre,Toronto Beaches,4,2,1,3,0,0,1,0,18
XAVIER TAYLOR,Xavier,Taylor,St. Catharines Athletics,1,1,2,3,0,1,1,0,6
CARTER ACCURSI,Carter,Accursi,St. Catharines Athletics,3,1,2,3,0,1,0,0,0
CODY COULSON,Cody,Coulson,Orangeville Northmen,4,1,2,3,0,0,0,0,4
COLM BARNETT,Colm,Barnett,Orangeville Northmen,4,1,2,3,0,0,0,1,2
JEREMY SEARLE,Jeremy,Searle,Orangeville Northmen,5,1,2,3,0,1,0,0,7
TEHARONHIORENS MCCOMBER,Teharonhiorens,Mccomber,Burlington Chiefs,3,0,3,3,0,0,0,0,0
LUKE DAWICK,Luke,Dawick,Oakville Buzz,4,0,3,3,0,2,0,0,0
LIAM MCGRATH,Liam,Mcgrath,Orangeville Northmen,5,0,3,3,0,0,0,0,6
MICHAEL GRACE,Michael,Grace,Burlington Chiefs,3,2,0,2,0,0,1,0,2
MITCHELL ARMSTRONG,Mitchell,Armstrong,St. Catharines Athletics,3,2,0,2,0,0,0,0,2
GEORGE PITT,George,Pitt,Burlington Chiefs,3,2,0,2,0,0,0,0,0
AIDEN LONG,Aiden,Long,Orangeville Northmen,4,2,0,2,0,0,0,0,0
NOLAN BYRNE,Nolan,Byrne,Peterborough Lakers,4,2,0,2,0,0,0,0,2
DAVID PETERKIN,David,Peterkin,Toronto Beaches,4,2,0,2,0,0,0,0,0
MICHAEL ANDERSSON,Michael,Andersson,Whitby Warriors,2,1,1,2,0,0,0,0,0
CARTER SCHOTT,Carter,Schott,Whitby Warriors,2,1,1,2,0,0,0,0,2
JAKE DARLISON,Jake,Darlison,Whitby Warriors,3,1,1,2,0,0,0,0,28
ANDREW VRADENBURG,Andrew,Vradenburg,Burlington Chiefs,3,1,1,2,0,0,0,0,0
COLE TEEPLE,Cole,Teeple,Orangeville Northmen,2,0,2,2,0,0,0,0,0
REED KURTZ,Reed,Kurtz,Mimico Mountaineers,3,0,2,2,0,0,0,0,0
DYLAN ROBINSON,Dylan,Robinson,Toronto Beaches,4,0,2,2,0,0,0,1,2
NICK CROWLEY,Nick,Crowley,Peterborough Lakers,4,0,2,2,0,0,0,0,16
JULIEN BELAIR,Julien,Belair,Orangeville Northmen,1,1,0,1,0,0,0,0,0
LUCAS LITTLEJOHN,Lucas,Littlejohn,Whitby Warriors,2,1,0,1,0,0,0,0,4
JACK OLDMAN,Jack,Oldman,Whitby Warriors,3,1,0,1,0,0,0,0,2
RILEY SIMPSON,Riley,Simpson,Peterborough Lakers,4,1,0,1,0,0,0,0,0
CHRIS HARLAND,Chris,Harland,Toronto Beaches,4,1,0,1,0,0,0,0,4
ADAM THISTLETHWAITE,Adam,Thistlethwaite,Peterborough Lakers,4,1,0,1,0,0,0,0,12
HUGH KELLEHER,Hugh,Kelleher,Oakville Buzz,5,1,0,1,1,0,0,0,9
ALEX ROUSSEL AP,Alex,Roussel,Mimico Mountaineers,1,0,1,1,0,0,0,0,0
GAVIIN SNOW,Gaviin,Snow,St. Catharines Athletics,2,0,1,1,0,0,0,0,0
MARK WATTERSÊ,Mark,Wattersê,Mimico Mountaineers,2,0,1,1,0,0,0,0,0
MATTHEW VILAS,Matthew,Vilas,Oakville Buzz,2,0,1,1,0,0,0,0,0
CAMERON PACK,Cameron,Pack,St. Catharines Athletics,2,0,1,1,0,1,0,0,2
REECE DICICCO,Reece,Dicicco,Peterborough Lakers,3,0,1,1,0,0,0,0,6
RYAN ESSENSSA,Ryan,Essenssa,Mimico Mountaineers,3,0,1,1,0,1,0,0,2
OWEN TAPPER,Owen,Tapper,Whitby Warriors,3,0,1,1,0,0,0,0,2
JAKE DOOLITTLE,Jake,Doolittle,Whitby Warriors,3,0,1,1,0,0,0,0,2
JOHN WHELLER,John,Wheller,Whitby Warriors,3,0,1,1,0,0,0,0,0
Powered byÊGamesheet Inc.,Powered,Byêgamesheet,,,,,,,,,,